Date,Pull ups,Chin ups,Neutral pull ups,Press ups,Squats,Lunges,Flutter kicks,Step ups,Mountain climbers,Burpees,Sit ups,Bird Dogs,Sandbag Cleans,Kettlebell Cleans,Kettlebell press,Kettlebell swings,Yes's,Nos,2 Pump Burpees,Man maker,Thruster,Hip Thrust,20 yd sprints,Tactical Pro Agility Drill,Run (km),Injury
2021-04-12,10.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,
2021-04-13,10.0,,,30.0,,30.0,,,,,,,,,,,,,,,,,,,,
2021-04-14,,,,144.0,144.0,,,,,,,,,,,,,,,,,,,,,
2021-04-15,16.0,,,,84.0,84.0,,,,,,,,,,,,,,,,84.0,,,,
2021-04-16,9.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,
2021-04-17,17.0,,,18.0,,18.0,18.0,,18.0,,,,,,,,,,,,,,,,,
2021-04-19,,,,210.0,210.0,,,,,,,,,,,,,,,,,,,,,
2021-04-20,19.0,,,30.0,,8.0,30.0,,30.0,,,,30.0,,,,138.0,138.0,,,8.0,,,,,
2021-04-21,,,,87.0,100.0,17.0,,,,,,,,,,,,,,,,,,,,
2021-04-22,22.0,,,80.0,20.0,20.0,20.0,,20.0,40.0,20.0,,,,,,175.0,175.0,80.0,,,,,,,
2021-04-24,23.0,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,
2021-04-26,24.0,,,,,113.0,,,113.0,113.0,,,,,,,,,,,,,6.0,6.0,,
2021-04-27,25.0,,,150.0,,,150.0,,,,,,150.0,,,,,,,,,,,,,
2021-04-29,26.0,,,160.0,60.0,,,,,,,,,,,,,,,,,,,,,
2021-04-30,14.0,,,90.0,,,,,,,55.0,,,,,,,,,,,,,,5.0,
2021-05-01,,,,60.0,60.0,60.0,,,,,,,,,,,,,,30.0,,,,,,
2021-05-02,,,,150.0,150.0,,,,,,,,,,,,,,,,,,,,,
2021-05-04,27.0,,,160.0,,,,,,,,,,,35.0,70.0,,,,,,,,,,Left elbow tendonitis onset from Pull ups
2021-05-05,,1.0,2.0,10.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
2021-05-06,5.0,6.0,5.0,100.0,,,,,,,100.0,100.0,,,,100.0,,,,,,,,,,
2021-05-07,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
